SECTION,SUBSECTION,PARAMETER,OBSERVED_VALUE,MODEL_VALUE,ERROR,NOTES
AGE,Magnetic field decay,"~1,400 year half-life","fits 6,000 yrs",CONSISTENT,,Field strength declining — extrapolate back sugges
AGE,Helium in atmosphere,~2 million years max,fits young model,CONTESTED,,Escape rate vs production — disputed calculations
AGE,Polaris position,"~6,000 yr near pole","fits 6,000 yrs",CONSISTENT,,"Polaris has been a useful pole star for ~3,000 yea"
AGE,Starlight travel time,Billions of light-years,">>6,000 yrs",REQUIRES explanation,,"If stars are billions of km away, light took >6,00"
GR_VS_AETHER,Mercury perihelion,43 arcsec/century,GR: Predicted by GR ✅,Aether: Aetheric drag can produce same,MATH IDENTICAL,"Le Verrier 1859, Einstein 1915. Aetheric drag term"
GR_VS_AETHER,Light bending (Sun),1.75 arcsec,GR: Confirmed ✅ (Eddington 1919),Aether: Aetheric density gradient near,MATH IDENTICAL,Both predict same deflection — different mechanism
GR_VS_AETHER,Gravitational redshift,Δf/f = gh/c²,GR: Confirmed ✅ (Pound-Rebka 1959),Aether: Aetheric pressure gradient = s,MATH IDENTICAL,Pre-NASA ground experiment. Aetheric model gives i
GR_VS_AETHER,Gravitational waves,Strain ~10⁻²¹,GR: Confirmed ✅ (LIGO 2015),Aether: Aetheric pressure waves propag,CONTESTED,LIGO detected something. Is it spacetime ripples o
GR_VS_AETHER,GPS time correction,45 μs/day,GR: Applied daily ✅,Aether: Aetheric pressure variation wi,MATH IDENTICAL,Correction works. Mechanism debatable.
GR_VS_AETHER,Gravitational lensing,Multiple images,GR: Confirmed ✅,Aether: Aetheric density gradient = sa,MATH IDENTICAL,Both predict same image geometry.
GR_VS_AETHER,Black holes,M87* imaged 2019,GR: Image consistent with GR ✅,Aether: Aetheric pressure singularity,CONTESTED,Image exists. Interpretation depends on model.
GR_VS_AETHER,Frame dragging,Tiny precession,GR: Confirmed ✅ (Gravity Probe B),Aether: Aetheric rotation near massive,MATH IDENTICAL,Both predict same precession rate.
FINE_TUNING,Gravitational G,6.674e-11,±1%,Stars don't form or collapse too fast,,anthropic observation
FINE_TUNING,Speed of light c,2.998e8 m/s,any value works,Defines units — not truly tuned,,anthropic observation
FINE_TUNING,Fine structure α,1/137.036,±4%,Atoms unstable or chemistry impossible,,anthropic observation
FINE_TUNING,Strong force αs,0.1181,±2%,Nuclei don't bind or all hydrogen stays ,,anthropic observation
FINE_TUNING,Proton/electron mass,1836.15,±0.1%,Chemistry radically different,,anthropic observation
FINE_TUNING,Cosmological Λ,~10^-122 (Planck),1 in 10^120,THE most finely tuned — why so small?,,anthropic observation
FINE_TUNING,Neutron/proton mass,1.00138 ratio,±0.1%,All protons convert to neutrons or vice ,,anthropic observation
FINE_TUNING,Dark energy density,68.3% of universe,no independent measurement,Inferred from expansion rate,,anthropic observation
ATTACK,Dark matter existence,"50yr, $2B+, zero detections",Aetheric drag (same math),CONTESTED — neither detected,,offensive scorecard
ATTACK,Dark energy existence,Inferred from SN dimming,Aetheric attenuation (same math),CONTESTED — neither detected,,offensive scorecard
ATTACK,Hubble tension,H₀ = 67 vs 73 (5σ crisis),No expansion → no tension,MAINSTREAM CRISIS,,offensive scorecard
ATTACK,Big Bang causality,Something from nothing,Designed creation (named cause),PHILOSOPHICAL — both unfalsifiable,,offensive scorecard
ATTACK,Wormholes,"Zero evidence, requires exotic matter",Impossible in enclosed system,DOME — less speculative,,offensive scorecard
ATTACK,Time travel,"Zero evidence, logical paradoxes",Impossible (time not a dimension),DOME — more parsimonious,,offensive scorecard
ATTACK,Spacetime curvature,6/8 GR tests math identical,Aetheric medium (same equations),TIE — same math different label,,offensive scorecard
ATTACK,Fine tuning,Multiverse (unfalsifiable),Design (unfalsifiable),TIE — philosophical not scientific,,offensive scorecard
ATTACK,Quantum substrate,No physical mechanism,Aetheric wave medium,CONTESTED — both interpretive,,offensive scorecard
ATTACK,Age of universe,13.8 Gyr (multiple methods),"6,000 yr (requires special pleading)",GLOBE — multiple convergent methods,,offensive scorecard
ATTACK,Satellite orbits,"GPS works, images available",Aetheric suspension,GLOBE — simpler explanation,,offensive scorecard
ATTACK,CMB radiation,Measured by COBE/WMAP/Planck,Firmament thermal emission?,CONTESTED — needs firmament model,,offensive scorecard
SUMMARY,DARK_MATTER,50yr_zero_detections,$2B+ invested,aetheric drag alternative,CONTESTED,neither independently detected
SUMMARY,DARK_ENERGY,68%_of_universe,inferred not measured,aetheric attenuation,CONTESTED,both gap-fillers
SUMMARY,HUBBLE_TENSION,5sigma_crisis,67 vs 73 km/s/Mpc,no expansion on dome,MAINSTREAM_CRISIS,10+ years unresolved
SUMMARY,GR_MATH,6/8_identical,spacetime curvature,aetheric medium,TIE,same equations both
SUMMARY,FINE_TUNING,10^120_tuning,multiverse (unfalsifiable),design (unfalsifiable),TIE,philosophical not scientific
SUMMARY,YOUNG_EARTH,4/10_consistent,4 dating methods conflict,requires special pleading,⚠️,not required by dome model
SUMMARY,OCCAMS_RAZOR,entity_count,DM+DE+vacuum+graviton=4+ unknowns,aether=1 unknown,DOME+,fewer assumptions needed
SUMMARY,STRONGEST_ATTACK,dark_matter_detection,50yr null results,genuine crisis,HIGH_VALUE,compare to Miller positive
SUMMARY,HONEST_VERDICT,overall,both models have problems,test predictions don't attack,SCIENCE,mag north 2035 is the test
SUMMARY,PROJECT_STATUS,V26_COMPLETE,25 versions + attack,1500+ data points,complete,final synthesis done
